YYYYQ,GDP,GDPC1,GDPPOT,PCESV,GPDI,PIRIC,PRS85006023,CPIAUCSL,PCEND,UNRATE,CUMFNS,FEDFUNDS,CE16OV,CNP16OV
19551,413.073,2815.134,2757.5375,108.459,68.702,3.7812,116.228,26.7933,,4.7333,84.4645,1.3433,60814.6667,109130.3333
19552,421.532,2860.942,2775.4869,109.634,72.688,3.8033,116.416,26.7567,,4.4,87.4043,1.5,61643.3333,109533.6667
19553,430.221,2899.578,2793.0734,111.288,74.747,3.8236,116.436,26.7767,,4.1,87.483,1.94,62753.3333,109883.6667
19554,437.092,2916.985,2811.3068,114.179,78.882,3.828,116.693,26.8567,,4.2333,88.5527,2.3567,63310.6667,110186.0
19561,439.746,2905.656,2829.9084,115.94,78.303,3.8365,116.288,26.86,,4.0333,87.5453,2.4833,63560.6667,110483.3333
19562,446.01,2929.666,2848.3139,117.723,77.02,3.8171,115.838,27.0367,,4.2,86.4917,2.6933,63765.0,110787.6667
19563,451.191,2927.034,2867.5765,119.958,78.267,3.8304,115.873,27.3167,,4.1333,84.154,2.81,63950.3333,111113.3333
19564,460.463,2975.209,2887.9829,122.272,77.145,3.8457,116.08,27.55,,4.1333,86.3631,2.9267,63893.6667,111431.0
19571,469.779,2994.259,2909.9969,123.876,77.728,3.8527,115.685,27.7767,,3.9333,86.521,2.9333,64097.6667,111720.3333
19572,472.025,2987.699,2933.4487,125.528,77.907,3.8553,114.913,28.0133,,4.1,84.5961,3.0,64076.0,112045.3333
19573,479.49,3016.979,2957.9832,127.521,79.339,3.8151,114.636,28.2633,,4.2333,83.8886,3.2333,64206.6667,112430.6667
19574,474.864,2985.775,2983.7255,129.85,71.045,3.7711,113.608,28.4,,4.9333,79.4514,3.2533,63879.0,112865.6667
19581,467.54,2908.281,3009.6601,130.63,66.73,3.6815,113.415,28.7367,,6.3,74.0657,1.8633,62949.6667,113236.3333
19582,471.978,2927.395,3036.5506,133.0,65.065,3.6384,113.546,28.93,,7.3667,72.406,0.94,62745.0,113532.0
19583,485.841,2995.112,3063.9644,135.471,71.999,3.6083,114.08,28.9133,,7.3333,75.4322,1.3233,62979.3333,113846.3333
19584,499.555,3065.141,3092.7924,137.049,80.001,3.5888,114.641,28.9433,,6.3667,78.1743,2.1633,63498.0,114283.3333
19591,510.33,3123.978,3122.0075,139.726,83.166,3.5845,115.042,28.9933,126.0667,5.8333,81.3723,2.57,63939.6667,114714.3333
19592,522.653,3194.429,3152.2324,142.888,89.381,3.5742,115.397,29.0433,127.1667,5.1,84.5589,3.0833,64772.0,115139.0
19593,525.034,3196.683,3184.1616,146.201,83.606,3.5454,115.039,29.1933,128.2,5.2667,80.4988,3.5767,64875.0,115550.6667
19594,528.6,3205.79,3216.3037,149.277,86.524,3.5154,114.763,29.37,129.5,5.6,80.0757,3.99,64927.3333,115918.0
19601,542.648,3277.847,3249.2975,151.304,96.476,3.4992,114.518,29.3967,129.6,5.1333,84.4715,3.9333,65213.3333,116707.6667
19602,541.08,3260.177,3282.0234,153.813,87.096,3.4719,114.572,29.5733,131.9667,5.2333,81.318,3.6967,66061.3333,117036.6667
19603,545.604,3276.133,3314.9506,154.623,86.377,3.4464,114.685,29.59,131.5667,5.5333,78.8989,2.9367,66023.6667,117411.0
19604,540.197,3234.087,3347.584,156.921,75.963,3.4216,114.205,29.78,132.4,6.2667,75.8523,2.2967,65839.6667,117824.3333
19611,545.018,3255.914,3380.7233,158.878,78.378,3.4126,113.975,29.84,133.4,6.8,73.8284,2.0033,65738.0,118254.3333
19612,555.545,3311.181,3413.0685,161.891,84.108,3.4219,113.933,29.83,134.2333,7.0,76.3543,1.7333,65605.3333,118636.0
19613,567.664,3374.742,3446.7717,163.156,90.917,3.4115,114.099,29.9467,134.6,6.7667,78.4144,1.6833,65667.0,119000.6667
19614,580.612,3440.924,3480.8275,166.742,92.931,3.3997,114.538,29.99,136.1667,6.2,80.6409,2.4,65966.6667,119189.6667
19621,594.013,3502.298,3515.977,169.287,98.074,3.3763,114.248,30.1067,137.8333,5.6333,81.1862,2.4567,66379.6667,119378.6667
19622,600.366,3533.947,3552.0383,172.666,96.706,3.3598,114.784,30.22,138.7667,5.5333,81.3356,2.6067,66576.6667,119819.3333
19623,609.027,3577.362,3589.0123,174.806,98.16,3.349,114.733,30.3067,139.9667,5.5667,81.5601,2.8467,66881.0,120368.0
19624,612.28,3589.128,3626.7058,177.594,94.968,3.3247,114.29,30.38,141.5,5.5333,81.6345,2.9233,66969.3333,121045.6667
19631,621.672,3628.306,3664.8477,179.236,99.689,3.3128,114.418,30.4767,142.4667,5.7667,82.3156,2.9667,67149.0,121640.0
19632,629.752,3669.02,3703.8465,181.728,101.65,3.3031,114.65,30.5333,142.8,5.7333,83.7831,2.9633,67635.3333,122166.6667
19633,644.444,3749.681,3743.5307,185.526,104.612,3.274,114.343,30.72,145.1667,5.5,83.5563,3.33,67995.6667,122669.6667
19634,653.938,3774.264,3784.049,189.031,107.189,3.2583,114.636,30.8033,145.3,5.5667,84.2037,3.4533,68258.0,123188.6667
19641,669.822,3853.835,3824.6709,192.935,110.474,3.2211,115.857,30.93,148.6333,5.4667,84.4956,3.4633,68613.6667,123708.0
19642,678.674,3895.793,3866.1988,196.604,110.518,3.2183,116.111,30.98,151.4667,5.2,85.5447,3.49,69401.6667,124203.0
19643,692.031,3956.657,3908.2547,200.168,112.631,3.2,115.867,31.05,154.8667,5.0,86.057,3.4567,69480.0,124739.3333
19644,697.319,3968.878,3950.3756,203.811,114.984,3.2021,116.019,31.1933,155.7667,4.9667,86.492,3.5767,69710.3333,125289.0
19651,717.79,4064.915,3993.8515,207.035,126.542,3.1933,116.672,31.29,157.7667,4.9,88.866,3.9767,70187.6667,125814.0
19652,730.191,4116.267,4036.6403,211.056,127.052,3.1683,116.44,31.49,160.7667,4.6667,89.3981,4.08,70897.3333,126324.6667
19653,749.323,4207.782,4081.0984,215.035,131.237,3.139,116.14,31.5833,164.0667,4.3667,89.9023,4.0767,71369.3333,126745.0
19654,771.857,4304.731,4126.1029,220.065,133.752,3.123,116.194,31.75,170.5333,4.1,89.9839,4.1667,71827.0,127169.3333
19661,795.734,4409.518,4171.8648,223.73,144.2,3.0595,116.444,32.0467,174.0667,3.8667,91.1195,4.56,72173.3333,127511.3333
19662,804.981,4424.581,4218.3113,228.23,143.501,3.0507,116.104,32.3367,177.2667,3.8333,91.5667,4.9133,72594.0,127868.6667
19663,819.638,4462.053,4265.4766,232.198,143.194,3.0176,115.668,32.6167,179.7667,3.7667,91.2437,5.41,73088.0,128233.6667
19664,833.302,4498.66,4312.4901,237.04,145.855,3.0124,115.136,32.8833,180.4,3.7,90.5906,5.5633,73656.6667,128617.0
19671,844.17,4538.498,4360.2718,240.841,142.811,3.0039,114.527,32.9667,182.3667,3.8333,88.5845,4.8233,73572.0,129043.6667
19672,848.983,4541.28,4408.3508,244.953,137.495,2.9987,113.789,33.1667,184.0333,3.8333,86.7784,3.99,74001.3333,129527.0
19673,865.233,4584.246,4456.8385,250.241,142.835,2.9892,113.68,33.5,185.7667,3.8,85.9545,3.8933,74713.6667,130165.6667
19674,881.439,4618.812,4506.4596,254.743,147.653,2.9885,113.627,33.8667,187.8667,3.9,87.3031,4.1733,75216.3333,130757.3333
19681,909.387,4713.013,4556.6781,261.903,152.288,2.9699,113.24,34.2,193.5667,3.7333,87.3264,4.79,75102.6667,131267.0
19682,934.344,4791.758,4606.9936,269.161,158.943,2.9503,113.448,34.5333,197.8,3.5667,87.2785,5.9833,75950.0,131712.3333
19683,950.825,4828.892,4658.5699,275.736,155.683,2.9281,113.436,35.0,202.8333,3.5333,86.6724,5.9467,76100.6667,132250.0
