yyyymm,px1_mean,share_more,share_same,share_less,unrate
197801,6.1,30,48,20,6.4
197802,8.5,24,41,30,6.3
197803,7.5,31,52,14,6.3
197804,8.0,25,56,17,6.1
197805,8.9,26,45,23,6.0
197806,8.0,39,51,8,5.9
197807,7.6,32,53,12,6.2
197808,10.5,33,48,16,5.9
197809,8.5,31,52,15,6.0
197810,7.9,30,55,12,5.8
197811,9.6,35,44,16,5.9
197812,8.3,46,42,7,6.0
197901,9.7,41,45,10,5.9
197902,11.4,34,50,14,5.9
197903,10.0,41,46,9,5.8
197904,11.1,45,40,11,5.8
197905,12.0,40,46,9,5.6
197906,12.0,52,39,6,5.7
197907,11.5,62,30,6,5.7
197908,11.2,62,30,7,6.0
197909,10.4,55,36,7,5.9
197910,9.5,55,36,7,6.0
197911,11.9,54,36,8,5.9
197912,11.7,61,30,8,6.0
198001,13.8,54,34,9,6.3
198002,11.2,46,38,13,6.3
198003,12.7,57,35,7,6.3
198004,12.0,62,29,7,6.9
198005,9.5,72,23,5,7.5
198006,9.0,63,25,11,7.6
198007,10.0,59,30,11,7.8
198008,8.8,40,38,19,7.7
198009,9.3,40,36,22,7.5
198010,10.0,30,46,21,7.5
198011,9.8,24,47,26,7.5
198012,10.9,39,41,16,7.2
198101,8.6,38,41,19,7.5
198102,9.1,40,42,16,7.4
198103,7.9,41,43,13,7.4
198104,9.3,40,41,17,7.2
198105,8.6,36,46,17,7.5
198106,7.8,36,44,18,7.5
198107,7.7,36,44,18,7.2
198108,7.7,36,47,14,7.4
198109,8.7,39,45,15,7.6
198110,8.3,50,38,11,7.9
198111,8.8,54,33,11,8.3
198112,6.5,59,28,11,8.5
198201,6.4,49,34,16,8.6
198202,6.4,52,33,13,8.9
198203,5.8,54,32,13,9.0
198204,5.1,50,34,14,9.3
198205,4.8,47,35,17,9.4
198206,5.8,48,35,16,9.6
198207,5.9,48,35,16,9.8
198208,6.3,46,35,17,9.8
198209,5.3,43,38,18,10.1
198210,5.9,41,36,21,10.4
198211,5.2,37,42,19,10.8
198212,4.8,37,40,22,10.8
198301,4.7,30,45,23,10.4
198302,4.5,29,41,29,10.4
198303,3.1,21,43,36,10.3
198304,4.5,15,41,42,10.2
198305,4.5,13,44,42,10.1
198306,4.6,15,47,37,10.1
198307,4.5,16,44,39,9.4
198308,5.0,15,40,42,9.5
198309,5.0,17,46,36,9.2
198310,5.2,20,44,35,8.8
198311,5.1,16,47,35,8.5
198312,4.9,17,45,36,8.3
198401,4.6,14,48,36,8.0
198402,5.1,16,50,31,7.8
198403,5.0,16,45,38,7.8
198404,5.8,18,52,28,7.7
198405,5.3,20,51,29,7.4
198406,4.8,23,52,24,7.2
198407,4.5,19,53,26,7.5
198408,4.5,21,54,24,7.5
198409,4.2,22,50,26,7.3
198410,5.3,24,54,20,7.4
198411,5.1,24,52,22,7.2
198412,4.7,28,50,21,7.3
198501,4.0,25,54,20,7.3
198502,4.8,28,50,20,7.2
198503,4.3,29,47,23,7.2
198504,5.0,28,50,20,7.3
198505,4.6,28,52,19,7.2
198506,4.9,25,58,16,7.4
198507,4.2,27,58,14,7.4
198508,3.6,29,52,17,7.1
198509,4.4,31,53,14,7.1
198510,4.8,32,51,16,7.1
198511,4.4,29,54,15,7.0
198512,5.0,30,54,15,7.0
198601,4.2,30,54,15,6.7
198602,3.7,29,51,19,7.2
198603,3.0,33,48,17,7.2
198604,3.4,32,51,15,7.1
198605,3.3,31,54,14,7.2
198606,3.7,26,53,20,7.2
198607,3.6,27,56,15,7.0
198608,4.2,32,54,13,6.9
198609,3.4,32,54,11,7.0
198610,3.7,33,55,10,7.0
198611,3.6,34,54,11,6.9
198612,4.0,42,46,11,6.6
198701,3.9,38,49,12,6.6
198702,4.1,33,52,14,6.6
198703,3.6,35,48,15,6.6
198704,3.7,33,52,13,6.3
198705,4.7,32,53,13,6.3
198706,4.4,30,52,16,6.2
198707,4.2,30,55,14,6.1
198708,4.4,27,56,15,6.0
198709,4.2,29,57,13,5.9
198710,4.3,29,52,17,6.0
198711,3.8,36,53,10,5.8
198712,3.9,34,51,12,5.7
198801,4.3,33,54,12,5.7
198802,4.4,33,53,12,5.7
198803,4.0,28,58,12,5.7
198804,4.5,28,56,14,5.4
198805,4.8,21,67,11,5.6
198806,5.6,31,53,15,5.4
198807,5.6,29,54,15,5.4
198808,5.3,27,53,15,5.6
198809,5.5,27,52,17,5.4
198810,5.1,22,60,16,5.4
198811,5.4,27,57,14,5.3
198812,5.0,28,55,15,5.3
198901,5.1,34,50,15,5.4
198902,4.8,30,55,13,5.2
198903,5.6,33,53,12,5.0
198904,5.0,29,55,14,5.2
198905,5.8,35,52,12,5.2
198906,5.0,29,59,10,5.3
198907,5.1,31,57,11,5.2
198908,4.7,35,54,10,5.2
198909,4.4,26,61,11,5.3
198910,4.6,30,55,14,5.3
198911,4.7,35,54,10,5.4
198912,4.4,37,51,11,5.4
199001,5.3,36,52,10,5.4
199002,5.1,44,48,7,5.3
199003,4.9,34,55,10,5.2
199004,4.4,36,52,11,5.4
199005,4.6,37,52,10,5.4
199006,4.9,39,52,8,5.2
199007,4.6,37,54,7,5.5
199008,6.1,46,44,9,5.7
199009,5.8,44,45,9,5.9
199010,6.0,62,30,6,5.9
199011,5.5,64,30,5,6.2
199012,5.3,60,34,6,6.3
199101,4.8,62,29,8,6.4
199102,4.6,56,31,12,6.6
199103,4.4,36,46,17,6.8
199104,4.1,45,39,15,6.7
199105,4.4,43,44,12,6.9
199106,4.7,36,48,14,6.9
199107,3.7,39,48,13,6.8
199108,4.2,40,45,13,6.9
199109,3.6,38,50,12,6.9
199110,4.6,48,39,11,7.0
199111,4.5,46,44,9,7.0
199112,3.6,52,37,9,7.3
199201,3.1,57,33,9,7.3
199202,3.3,56,30,12,7.4
199203,3.0,43,42,14,7.4
199204,3.5,42,40,16,7.4
199205,3.2,36,45,18,7.6
199206,4.0,37,48,14,7.8
199207,3.8,45,40,13,7.7
199208,3.9,38,46,15,7.6
199209,4.0,42,43,15,7.6
199210,3.5,41,41,16,7.3
199211,4.4,28,52,19,7.4
199212,3.2,26,46,27,7.4
199301,3.4,25,46,27,7.3
199302,4.5,32,44,22,7.1
199303,4.9,37,43,20,7.0
199304,4.0,33,48,18,7.1
199305,4.3,38,48,13,7.1
199306,4.8,40,46,13,7.0
199307,4.4,42,44,12,6.9
199308,4.7,42,43,13,6.8
199309,4.7,45,42,12,6.7
199310,3.9,46,44,9,6.8
199311,3.5,42,45,11,6.6
199312,3.7,33,47,18,6.5
199401,3.4,25,51,21,6.6
199402,3.7,32,51,17,6.6
199403,4.4,32,47,20,6.5
199404,4.5,32,51,16,6.4
199405,3.9,32,51,16,6.1
199406,4.0,30,51,16,6.1
199407,4.2,29,52,18,6.1
199408,4.6,34,51,13,6.0
199409,4.7,34,46,17,5.9
199410,3.8,30,56,14,5.8
199411,4.5,31,50,18,5.6
199412,4.0,30,47,22,5.5
199501,3.7,28,54,16,5.6
199502,4.0,32,53,13,5.4
199503,4.6,35,49,15,5.4
199504,4.3,34,51,14,5.8
199505,3.9,30,57,12,5.6
199506,3.9,32,55,12,5.6
199507,3.8,38,52,9,5.7
199508,3.9,34,55,11,5.7
199509,4.0,37,52,11,5.6
199510,3.5,43,46,10,5.5
199511,3.7,35,53,11,5.6
199512,3.2,35,51,13,5.6
199601,4.0,46,43,11,5.6
199602,3.6,40,50,9,5.5
199603,4.1,35,52,12,5.5
199604,4.5,35,53,11,5.6
199605,4.8,33,54,12,5.6
199606,4.1,35,52,12,5.3
199607,4.2,30,54,15,5.5
199608,4.1,30,53,16,5.1
199609,4.3,29,53,17,5.2
199610,4.1,28,57,14,5.2
199611,3.9,26,57,16,5.4
199612,3.9,24,60,14,5.4
199701,4.1,31,51,17,5.3
199702,3.8,25,56,18,5.2
199703,3.5,27,57,15,5.2
199704,3.7,28,55,15,5.1
199705,3.7,25,57,16,4.9
199706,3.5,22,62,14,5.0
199707,3.4,23,57,19,4.9
199708,3.3,23,59,16,4.8
199709,3.5,22,57,19,4.9
199710,3.2,20,57,20,4.7
199711,3.4,23,61,15,4.6
199712,3.4,32,49,18,4.7
199801,2.8,24,55,18,4.6
199802,2.6,19,59,20,4.6
199803,2.9,20,58,20,4.7
199804,2.7,16,63,19,4.3
199805,3.1,21,60,19,4.4
199806,3.2,26,51,21,4.5
199807,3.1,26,58,15,4.5
199808,2.7,26,56,17,4.5
199809,2.7,26,59,14,4.6
199810,2.6,33,53,12,4.5
199811,2.7,34,50,15,4.4
199812,2.8,36,50,12,4.4
199901,3.0,28,58,13,4.3
199902,2.8,23,59,15,4.4
199903,3.1,26,60,13,4.2
199904,3.0,23,62,14,4.3
199905,3.2,24,61,14,4.2
199906,3.1,19,62,17,4.3
199907,3.0,22,64,13,4.3
199908,3.2,27,57,14,4.2
199909,3.2,24,61,14,4.2
199910,3.5,25,61,13,4.1
199911,3.3,26,56,15,4.1
199912,3.6,21,61,16,4.0
200001,3.5,21,61,17,4.0
200002,3.5,21,62,15,4.1
200003,3.8,22,62,13,4.0
200004,3.5,22,62,13,3.8
200005,3.5,20,64,16,4.0
200006,3.4,25,59,13,4.0
200007,3.7,24,60,13,4.0
200008,3.5,23,59,15,4.1
200009,3.7,23,61,12,3.9
200010,4.1,29,57,12,3.9
200011,3.8,27,57,13,3.9
200012,3.4,39,47,12,3.9
200101,3.8,47,42,8,4.2
200102,3.2,53,36,10,4.2
200103,3.3,50,42,7,4.3
200104,3.7,53,39,7,4.4
200105,3.9,47,42,9,4.3
200106,4.0,45,44,10,4.5
200107,3.0,49,41,9,4.6
200108,3.1,52,37,10,4.9
200109,3.2,60,29,9,5.0
200110,1.6,59,30,9,5.3
200111,1.0,56,30,13,5.5
200112,1.9,48,36,13,5.7
200201,2.2,40,40,17,5.7
200202,2.4,42,40,18,5.7
200203,3.1,34,42,22,5.7
200204,3.1,32,44,23,5.9
200205,3.1,30,49,19,5.8
200206,3.0,31,51,16,5.8
200207,2.7,44,43,12,5.8
200208,2.6,42,44,13,5.7
200209,3.1,36,47,16,5.7
200210,2.9,44,40,13,5.7
200211,2.5,37,47,14,5.9
200212,2.7,43,40,16,6.0
200301,2.7,43,44,12,5.8
200302,3.2,44,41,14,5.9
200303,3.8,44,41,14,5.9
200304,2.7,37,45,17,6.0
200305,2.5,29,47,22,6.1
200306,2.5,35,44,20,6.3
200307,2.3,34,46,18,6.2
200308,2.8,32,47,21,6.1
200309,3.4,33,48,19,6.1
200310,3.1,37,43,20,6.0
200311,3.1,31,42,26,5.8
200312,2.8,26,45,28,5.7
200401,2.9,24,47,29,5.7
200402,2.9,28,49,23,5.6
200403,3.4,31,45,23,5.8
200404,4.0,29,48,22,5.6
200405,3.9,30,47,23,5.6
200406,4.0,23,48,27,5.6
200407,3.5,22,47,29,5.5
200408,3.1,28,49,22,5.4
200409,3.2,28,48,23,5.4
200410,3.6,26,52,21,5.5
200411,3.3,28,49,22,5.4
200412,3.4,26,51,23,5.4
200501,3.5,31,49,20,5.3
200502,3.3,29,53,18,5.4
200503,4.0,29,54,17,5.2
200504,4.0,35,48,17,5.2
200505,3.8,37,45,18,5.1
200506,4.0,32,52,16,5.0
200507,3.6,30,56,13,5.0
200508,3.7,36,51,13,4.9
200509,5.5,48,41,11,5.0
200510,5.5,48,37,14,5.0
200511,4.1,36,50,14,5.0
200512,4.1,41,44,15,4.9
200601,3.8,38,50,11,4.7
200602,3.6,40,47,12,4.8
200603,3.8,42,44,13,4.7
200604,4.4,41,46,12,4.7
200605,4.7,40,46,13,4.6
200606,4.4,38,50,11,4.6
200607,3.8,39,51,10,4.7
200608,4.6,41,47,11,4.7
200609,3.6,39,47,14,4.5
200610,3.7,31,59,9,4.4
200611,3.3,31,59,10,4.5
200612,3.5,34,53,13,4.4
200701,3.6,27,60,12,4.6
200702,3.6,33,58,8,4.5
200703,3.6,33,57,10,4.4
200704,4.0,38,53,9,4.5
200705,4.3,30,59,10,4.4
200706,4.2,37,51,12,4.6
200707,4.2,33,56,10,4.7
200708,4.0,39,52,8,4.6
200709,4.0,36,54,9,4.7
200710,3.7,38,54,8,4.7
200711,4.3,39,50,11,4.7
200712,4.4,47,45,8,5.0
200801,4.0,47,46,6,5.0
200802,3.9,50,41,9,4.9
200803,4.6,55,38,7,5.1
200804,5.7,59,36,5,5.0
200805,7.0,56,41,3,5.4
200806,6.5,64,31,5,5.6
200807,6.3,61,32,7,5.8
200808,5.3,55,40,5,6.1
200809,4.6,50,41,9,6.1
200810,4.3,62,31,6,6.5
200811,2.9,69,24,7,6.8
200812,1.7,69,24,7,7.3
200901,2.5,66,21,12,7.8
200902,2.3,69,20,10,8.3
200903,2.4,64,27,9,8.7
200904,3.1,56,31,12,9.0
200905,3.2,46,40,14,9.4
200906,3.9,48,37,15,9.5
200907,3.6,50,36,14,9.5
200908,3.0,39,45,15,9.6
200909,2.8,30,49,20,9.8
200910,3.2,36,48,16,10.0
200911,3.1,40,43,16,9.9
200912,3.0,34,44,22,9.9
201001,3.4,30,50,19,9.8
201002,3.6,27,51,21,9.8
201003,3.4,29,53,17,9.9
201004,3.8,29,46,24,9.9
